,year,abbr,team_name,home_base,win,loss,lat,lon
0,2015,LAA,Angels,Los Angeles,38,32,34.05,-118.24
1,2015,HOU,Astros,Houston,46,28,29.76,-95.37
2,2015,OAK,Athletics,Oakland,28,47,37.8,-122.27
3,2015,TOR,BlueJays,Toronto,46,28,43.65,-79.39
4,2015,ATL,Braves,Atlanta,35,39,33.75,-84.39
5,2015,MIL,Brewers,Milwaukee,32,47,43.03,-87.92
6,2015,STL,Cardinals,St. Louis,46,26,38.63,-90.2
7,2015,CHC,Cubs,Chicago,36,32,41.88,-87.62
8,2015,ARI,Diamondbacks,Arizona,34,42,-28.39,-49.38
9,2015,LAD,Dodgers,Los Angeles,47,26,34.05,-118.24
10,2015,SF,Giants,San Francisco,41,34,37.78,-122.42
11,2015,CLE,Indians,Cleveland,37,41,41.51,-81.69
12,2015,SEA,Mariners,Seattle,30,44,47.6,-122.33
13,2015,MIA,Marlins,Florida,32,40,21.53,-78.23
14,2015,NYM,Mets,New York,42,32,40.73,-73.99
15,2015,WSN,Nationals,Washington,39,35,38.9,-77.04
16,2015,BAL,Orioles,Baltimore,38,31,39.29,-76.61
17,2015,SD,Padres,San Diego,35,42,32.72,-117.16
18,2015,PHI,Phillies,Philadelphia,30,44,39.95,-75.16
19,2015,PIT,Pirates,Pittsburgh,42,28,40.44,-79.99
20,2015,TEX,Rangers,Texas,36,38,-28.86,151.17
21,2015,TB,Rays,Tampa,39,42,27.95,-82.46
22,2015,CIN,Reds,Cincinnati,29,47,39.1,-84.51
23,2015,BOS,RedSox,Boston,40,38,42.36,-71.06
24,2015,COL,Rockies,Colorado,28,45,-22.84,-51.97
25,2015,KCR,Royals,Kansas City,45,30,39.08,-94.56
26,2015,DET,Tigers,Detroit,28,43,42.35,-83.06
27,2015,MIN,Twins,Minnesota,40,35,40.66,-122.49
28,2015,CHW,WhiteSox,Chicago,28,41,41.88,-87.62
29,2015,NYY,Yankees,New York,41,36,40.73,-73.99
